store_id,store_name,product_category,date,Unit sales,DOLLAR SALES,store_zip,promotion_flag
LA010,Store_10,Household,12/14/24,45.0,826.37,90032,FALSE
LA008,Store_8,snacks,12/14/24,31.0,420.51,90028,TRUE
LA009,Store_9,beverages,12/14/24,42.0,73.12,90016,FALSE
LA004,Store_4,Personal Care,12/14/24,31.0,351.6,90031,FALSE
LA007,Store_7,Household,12/14/24,16.0,164.05,90027,FALSE
LA002,Store_2,Snacks,12/14/24,7.0,741.6,90014,TRUE
LA010,Store_10,Snacks,12/14/24,42.0,597.55,900XX,TRUE
LA003,Store_3,Snacks,12/14/24,25.0,557.86,90007,FALSE
LA005,Store_5,Household,12/14/24,28.0,648.83,90003,FALSE
LA003,Store_3,Beverages,12/14/24,36.0,871.43,900XX,FALSE
LA002,Store_2,Beverages,12/14/24,45.0,535.25,90026,FALSE
LA007,Store_7,Produce,12/14/24,13.0,504.33,90013,TRUE
LA005,Store_5,Produce,12/14/24,5.0,587.07,90033,FALSE
LA003,Store_3,snacks,12/14/24,45.0,547.94,90006,FALSE
LA009,Store_9,Snacks,12/14/24,12.0,388.05,900XX,TRUE
LA009,Store_9,Personal Care,12/14/24,3.0,880.63,90026,FALSE
LA002,Store_2,personal care,12/14/24,49.0,703.19,90003,TRUE
LA004,Store_4,Beverages,12/14/24,35.0,720.31,90002,TRUE
LA008,Store_8,Snacks,12/14/24,22.0,384.7,90029,TRUE
LA001,Store_1,Personal Care,12/14/24,47.0,708.67,90024,TRUE
LA010,Store_10,household,12/14/24,40.0,34.3,90005,FALSE
LA005,Store_5,household,12/14/24,17.0,22.64,90006,TRUE
LA008,Store_8,Produce,12/14/24,45.0,220.21,90018,FALSE
LA002,Store_2,Personal Care,12/14/24,10.0,755.48,90015,TRUE
LA008,Store_8,Produce,12/14/24,47.0,759.23,900XX,TRUE
LA001,Store_1,Snacks,12/14/24,31.0,674.07,90019,FALSE
LA008,Store_8,Personal Care,12/14/24,1.0,267.03,90014,TRUE
LA002,Store_2,Household,12/14/24,28.0,553.33,90010,FALSE
LA002,Store_2,Personal Care,12/14/24,50.0,611.01,90025,TRUE
LA009,Store_9,Produce,12/14/24,1.0,608.79,90001,TRUE
LA008,Store_8,Household,12/14/24,3.0,31.09,900XX,TRUE
LA010,Store_10,Beverages,12/14/24,39.0,125.62,90033,TRUE
LA002,Store_2,Household,12/14/24,43.0,843.2,90034,FALSE
LA006,Store_6,Beverages,12/14/24,4.0,350.69,90002,FALSE
LA003,Store_3,Snacks,12/14/24,13.0,553.17,90017,FALSE
LA004,Store_4,Beverages,12/14/24,46.0,240.51,900XX,FALSE
LA008,Store_8,snacks,12/14/24,41.0,10.77,900XX,TRUE
LA006,Store_6,Personal Care,12/14/24,,639.77,90017,TRUE
LA009,Store_9,Snacks,12/14/24,50.0,439.04,90034,FALSE
LA005,Store_5,Beverages,12/14/24,22.0,81.61,90028,TRUE
LA003,Store_3,Snacks,12/14/24,20.0,629.34,90024,FALSE
LA002,Store_2,Snacks,12/14/24,9.0,41.77,900XX,TRUE
LA008,Store_8,Personal Care,12/14/24,32.0,485.21,90016,TRUE
LA001,Store_1,Household,12/14/24,3.0,370.9,90024,FALSE
LA009,Store_9,personal care,12/14/24,5.0,42.82,90024,
LA010,Store_10,produce,12/14/24,,573.07,90031,FALSE
LA010,Store_10,Personal Care,12/14/24,7.0,111.62,90021,TRUE
LA007,Store_7,Snacks,12/14/24,44.0,522.61,90031,TRUE
LA001,Store_1,Household,12/14/24,18.0,135.7,90026,TRUE
LA008,Store_8,Personal Care,12/14/24,,98.97,90021,TRUE
LA001,Store_1,Beverages,12/14/24,,169.68,900XX,FALSE
LA007,Store_7,Snacks,12/14/24,14.0,137.35,90016,TRUE
LA010,Store_10,Personal Care,12/14/24,32.0,554.72,900XX,FALSE
LA006,Store_6,Personal Care,12/14/24,8.0,888.08,90021,TRUE
